ALIAS,Skill,Value
ramranch,viz,3.0
ramranch,stats,2.0
ramranch,math,3.0
ramranch,art,10.0
ramranch,ui,8.0
ramranch,code,5.0
ramranch,graph,5.0
ramranch,hci,6.0
ramranch,eval,4.0
ramranch,comm,1.0
ramranch,collab,1.0
ramranch,GIT,5.0
Caterpillar Fungus,viz,3.0
Caterpillar Fungus,stats,2.0
Caterpillar Fungus,math,2.0
Caterpillar Fungus,art,2.0
Caterpillar Fungus,ui,8.0
Caterpillar Fungus,code,4.0
Caterpillar Fungus,graph,3.0
Caterpillar Fungus,hci,4.0
Caterpillar Fungus,eval,3.0
Caterpillar Fungus,comm,6.0
Caterpillar Fungus,collab,8.0
Caterpillar Fungus,GIT,8.0
tjsol,viz,5.0
tjsol,stats,3.0
tjsol,math,3.0
tjsol,art,8.0
tjsol,ui,9.0
tjsol,code,7.0
tjsol,graph,2.0
tjsol,hci,3.0
tjsol,eval,6.0
tjsol,comm,4.0
tjsol,collab,6.0
tjsol,GIT,10.0
Rookie9,viz,5.0
Rookie9,stats,5.0
Rookie9,math,6.0
Rookie9,art,4.0
Rookie9,ui,6.0
Rookie9,code,5.0
Rookie9,graph,4.0
Rookie9,hci,5.0
Rookie9,eval,5.0
Rookie9,comm,5.0
Rookie9,collab,7.0
Rookie9,GIT,4.0
matcha,viz,3.0
matcha,stats,3.0
matcha,math,6.0
matcha,art,5.0
matcha,ui,5.0
matcha,code,3.0
matcha,graph,2.0
matcha,hci,3.0
matcha,eval,3.0
matcha,comm,8.0
matcha,collab,8.0
matcha,GIT,3.0
Flower,viz,3.0
Flower,stats,3.0
Flower,math,3.0
Flower,art,8.0
Flower,ui,8.0
Flower,code,5.0
Flower,graph,1.0
Flower,hci,3.0
Flower,eval,10.0
Flower,comm,10.0
Flower,collab,10.0
Flower,GIT,8.0
kapybara,viz,4.0
kapybara,stats,3.0
kapybara,math,7.0
kapybara,art,4.0
kapybara,ui,8.0
kapybara,code,7.0
kapybara,graph,4.0
kapybara,hci,6.0
kapybara,eval,6.0
kapybara,comm,9.0
kapybara,collab,8.0
kapybara,GIT,7.0
Bebocchia ,viz,8.0
Bebocchia ,stats,6.0
Bebocchia ,math,8.0
Bebocchia ,art,1.0
Bebocchia ,ui,5.0
Bebocchia ,code,5.0
Bebocchia ,graph,7.0
Bebocchia ,hci,5.0
Bebocchia ,eval,5.0
Bebocchia ,comm,9.0
Bebocchia ,collab,9.0
Bebocchia ,GIT,5.0
stellarise,viz,6.0
stellarise,stats,6.0
stellarise,math,4.0
stellarise,art,6.0
stellarise,ui,8.0
stellarise,code,8.0
stellarise,graph,8.0
stellarise,hci,7.0
stellarise,eval,5.0
stellarise,comm,8.0
stellarise,collab,8.0
stellarise,GIT,7.0
Kakka,viz,1.0
Kakka,stats,3.0
Kakka,math,5.0
Kakka,art,1.0
Kakka,ui,8.0
Kakka,code,8.0
Kakka,graph,3.0
Kakka,hci,5.0
Kakka,eval,4.0
Kakka,comm,9.0
Kakka,collab,9.0
Kakka,GIT,9.0
Beowulf,viz,6.0
Beowulf,stats,3.0
Beowulf,math,3.0
Beowulf,art,9.0
Beowulf,ui,8.0
Beowulf,code,8.0
Beowulf,graph,7.0
