Alias1,Alias2,commonWordsCount,commonWords
ramranch,Ty29,0,
ramranch,Mintchoco,1,['game']
ramranch,SannyKuro,0,
ramranch,DrPavel,1,['game']
ramranch,Reisen,0,
ramranch,GGer,0,
ramranch,Aaron,0,
ramranch,DiscoTechLola,0,
ramranch,Frieren,0,
ramranch,Sam Vimes,0,
ramranch,YellowShyGuy,0,
ramranch,John Wick,1,['game']
ramranch,MGH552200,0,
ramranch,"Bond, Jan Bond",1,['art']
ramranch,Windy65,0,
ramranch,BlenderBender,0,
ramranch,cyan,0,
ramranch,ghostcat,2,"['computer', 'game']"
ramranch,tpain,2,"['computer', 'game']"
ramranch,Shadowheart,1,['game']
ramranch,blackcat,0,
ramranch,sackboy,3,"['art', 'development', 'game']"
ramranch,Kanelbulle,2,"['art', 'game']"
ramranch,numpy,0,
ramranch,gallopinto,1,['development']
ramranch,tofu,1,['development']
ramranch,kattmat,0,
ramranch,w,0,
ramranch,Croco,0,
ramranch,Weissach,0,
ramranch,SargeSmoke,3,"['art', 'development', 'game']"
ramranch,BirdMaster,1,['game']
ramranch,Beowulf,2,"['art', 'game']"
ramranch,Kakka,0,
ramranch,stellarise,1,['game']
ramranch,Bebocchia ,0,
ramranch,kapybara,1,['development']
ramranch,Flower,1,['art']
ramranch,matcha,0,
ramranch,Rookie9,0,
ramranch,tjsol,1,['development']
ramranch,Caterpillar Fungus,2,"['computer', 'game']"
ramranch,ramranch,0,
Caterpillar Fungus,Ty29,1,['cycle']
Caterpillar Fungus,Mintchoco,2,"['travel', 'game']"
Caterpillar Fungus,SannyKuro,0,
Caterpillar Fungus,DrPavel,1,['game']
Caterpillar Fungus,Reisen,0,
Caterpillar Fungus,GGer,0,
Caterpillar Fungus,Aaron,1,['football']
Caterpillar Fungus,DiscoTechLola,0,
Caterpillar Fungus,Frieren,1,['travel']
Caterpillar Fungus,Sam Vimes,0,
Caterpillar Fungus,YellowShyGuy,1,['cycle']
Caterpillar Fungus,John Wick,2,"['learn', 'game']"
Caterpillar Fungus,MGH552200,0,
Caterpillar Fungus,"Bond, Jan Bond",0,
Caterpillar Fungus,Windy65,0,
Caterpillar Fungus,BlenderBender,0,
Caterpillar Fungus,cyan,1,['travel']
Caterpillar Fungus,ghostcat,2,"['computer', 'game']"
Caterpillar Fungus,tpain,3,"['travel', 'computer', 'game']"
Caterpillar Fungus,Shadowheart,1,['game']
Caterpillar Fungus,blackcat,0,
Caterpillar Fungus,sackboy,2,"['program', 'game']"
Caterpillar Fungus,Kanelbulle,3,"['build', 'kth', 'game']"
Caterpillar Fungus,numpy,1,['learn']
Caterpillar Fungus,gallopinto,1,['learn']
Caterpillar Fungus,tofu,0,
Caterpillar Fungus,kattmat,0,
Caterpillar Fungus,w,0,
Caterpillar Fungus,Croco,1,['cycle']
Caterpillar Fungus,Weissach,1,['learn']
Caterpillar Fungus,SargeSmoke,1,['game']
Caterpillar Fungus,BirdMaster,1,['game']
Caterpillar Fungus,Beowulf,2,"['program', 'game']"
Caterpillar Fungus,Kakka,0,
Caterpillar Fungus,stellarise,1,['game']
Caterpillar Fungus,Bebocchia ,0,
Caterpillar Fungus,kapybara,0,
Caterpillar Fungus,Flower,2,"['travel', 'learn']"
Caterpillar Fungus,matcha,1,['learn']
Caterpillar Fungus,Rookie9,0,
Caterpillar Fungus,tjsol,0,
Caterpillar Fungus,Caterpillar Fungus,0,
Caterpillar Fungus,ramranch,2,"['computer', 'game']"
tjsol,Ty29,0,
tjsol,Mintchoco,0,
tjsol,SannyKuro,0,
tjsol,DrPavel,0,
tjsol,Reisen,0,
tjsol,GGer,0,
tjsol,Aaron,0,
tjsol,DiscoTechLola,0,
tjsol,Frieren,0,
tjsol,Sam Vimes,0,
tjsol,YellowShyGuy,0,
tjsol,John Wick,0,
tjsol,MGH552200,0,
tjsol,"Bond, Jan Bond",0,
tjsol,Windy65,0,
tjsol,BlenderBender,0,
tjsol,cyan,0,
tjsol,ghostcat,0,
tjsol,tpain,0,
tjsol,Shadowheart,0,
tjsol,blackcat,0,
tjsol,sackboy,1,['development']
tjsol,Kanelbulle,0,
tjsol,numpy,0,
tjsol,gallopinto,1,['development']
tjsol,tofu,2,"['web', 'development']"
tjsol,kattmat,0,
tjsol,w,0,
tjsol,Croco,0,
tjsol,Weissach,0,
tjsol,SargeSmoke,1,['development']
tjsol,BirdMaster,0,
tjsol,Beowulf,0,
tjsol,Kakka,0,
tjsol,stellarise,0,
tjsol,Bebocchia ,0,
tjsol,kapybara,2,"['web', 'development']"
tjsol,Flower,0,
tjsol,matcha,0,
tjsol,Rookie9,0,
tjsol,tjsol,0,
tjsol,Caterpillar Fungus,0,
tjsol,ramranch,1,['development']
Rookie9,Ty29,0,
Rookie9,Mintchoco,0,
Rookie9,SannyKuro,0,
Rookie9,DrPavel,0,
Rookie9,Reisen,0,
Rookie9,GGer,0,
Rookie9,Aaron,0,
Rookie9,DiscoTechLola,0,
Rookie9,Frieren,0,
Rookie9,Sam Vimes,0,
Rookie9,YellowShyGuy,0,
Rookie9,John Wick,0,
Rookie9,MGH552200,0,
Rookie9,"Bond, Jan Bond",0,
Rookie9,Windy65,0,
Rookie9,BlenderBender,0,
Rookie9,cyan,0,
Rookie9,ghostcat,0,
Rookie9,tpain,0,
Rookie9,Shadowheart,0,
Rookie9,blackcat,0,
Rookie9,sackboy,0,
Rookie9,Kanelbulle,0,
Rookie9,numpy,0,
Rookie9,gallopinto,0,
Rookie9,tofu,0,
Rookie9,kattmat,0,
Rookie9,w,0,
Rookie9,Croco,0,
Rookie9,Weissach,0,
Rookie9,SargeSmoke,0,
Rookie9,BirdMaster,0,
Rookie9,Beowulf,0,
Rookie9,Kakka,0,
Rookie9,stellarise,0,
Rookie9,Bebocchia ,0,
Rookie9,kapybara,0,
Rookie9,Flower,0,
Rookie9,matcha,0,
Rookie9,Rookie9,0,
Rookie9,tjsol,0,
Rookie9,Caterpillar Fungus,0,
Rookie9,ramranch,0,
matcha,Ty29,1,['sport']
matcha,Mintchoco,0,
matcha,SannyKuro,0,
matcha,DrPavel,0,
matcha,Reisen,0,
matcha,GGer,0,
matcha,Aaron,0,
matcha,DiscoTechLola,0,
matcha,Frieren,0,
matcha,Sam Vimes,0,
matcha,YellowShyGuy,1,['sport']
matcha,John Wick,3,"['data', 'learn', 'visualization']"
matcha,MGH552200,0,
matcha,"Bond, Jan Bond",0,
matcha,Windy65,0,
matcha,BlenderBender,0,
matcha,cyan,0,
matcha,ghostcat,0,
matcha,tpain,0,
matcha,Shadowheart,0,
matcha,blackcat,1,['sport']
matcha,sackboy,0,
matcha,Kanelbulle,0,
matcha,numpy,1,['learn']
matcha,gallopinto,3,"['data', 'ai', 'learn']"
matcha,tofu,1,['crochet']
matcha,kattmat,0,
matcha,w,0,
matcha,Croco,1,['sport']
matcha,Weissach,2,"['learn', 'engineer']"
matcha,SargeSmoke,1,['sport']
matcha,BirdMaster,0,
matcha,Beowulf,0,
matcha,Kakka,0,
matcha,stellarise,1,['sport']
matcha,Bebocchia ,0,
matcha,kapybara,1,['sport']
matcha,Flower,1,['learn']
matcha,matcha,0,
matcha,Rookie9,0,
matcha,tjsol,0,
matcha,Caterpillar Fungus,1,['learn']
matcha,ramranch,0,
Flower,Ty29,1,['technology']
Flower,Mintchoco,4,"['travel', 'technology', 'movie', 'read']"
Flower,SannyKuro,0,
Flower,DrPavel,1,['read']
Flower,Reisen,1,['paint']
Flower,GGer,0,
Flower,Aaron,1,['book']
Flower,DiscoTechLola,0,
Flower,Frieren,2,"['travel', 'hike']"
Flower,Sam Vimes,1,['read']
Flower,YellowShyGuy,0,
Flower,John Wick,2,"['learn', 'movie']"
Flower,MGH552200,0,
Flower,"Bond, Jan Bond",4,"['paint', 'technology', 'art', 'movie']"
Flower,Windy65,0,
Flower,BlenderBender,0,
Flower,cyan,1,['travel']
Flower,ghostcat,0,
Flower,tpain,1,['travel']
Flower,Shadowheart,0,
Flower,blackcat,0,
Flower,sackboy,1,['art']
Flower,Kanelbulle,1,['art']
Flower,numpy,1,['learn']
Flower,gallopinto,2,"['learn', 'hike']"
Flower,tofu,1,['paint']
Flower,kattmat,1,['read']
Flower,w,0,
Flower,Croco,0,
Flower,Weissach,2,"['watch', 'learn']"
Flower,SargeSmoke,2,"['art', 'read']"
Flower,BirdMaster,1,['read']
Flower,Beowulf,2,"['art', 'movie']"
Flower,Kakka,0,
Flower,stellarise,1,['technology']
Flower,Bebocchia ,0,
Flower,kapybara,0,
Flower,Flower,0,
Flower,matcha,1,['learn']
Flower,Rookie9,0,
Flower,tjsol,0,
Flower,Caterpillar Fungus,2,"['travel', 'learn']"
Flower,ramranch,1,['art']
kapybara,Ty29,1,['sport']
kapybara,Mintchoco,0,
kapybara,SannyKuro,1,['work']
kapybara,DrPavel,0,
kapybara,Reisen,0,
kapybara,GGer,0,
kapybara,Aaron,0,
kapybara,DiscoTechLola,0,
kapybara,Frieren,0,
kapybara,Sam Vimes,0,
kapybara,YellowShyGuy,1,['sport']
kapybara,John Wick,0,
kapybara,MGH552200,0,
kapybara,"Bond, Jan Bond",0,
kapybara,Windy65,0,
kapybara,BlenderBender,0,
kapybara,cyan,0,
kapybara,ghostcat,0,
kapybara,tpain,1,['work']
kapybara,Shadowheart,1,['design']
kapybara,blackcat,1,['sport']
kapybara,sackboy,1,['development']
kapybara,Kanelbulle,0,
kapybara,numpy,0,
kapybara,gallopinto,1,['development']
kapybara,tofu,2,"['web', 'development']"
kapybara,kattmat,0,
kapybara,w,0,
kapybara,Croco,1,['sport']
kapybara,Weissach,0,
kapybara,SargeSmoke,2,"['sport', 'development']"
kapybara,BirdMaster,0,
kapybara,Beowulf,0,
kapybara,Kakka,0,
kapybara,stellarise,1,['sport']
kapybara,Bebocchia ,0,
kapybara,kapybara,0,
kapybara,Flower,0,
kapybara,matcha,1,['sport']
kapybara,Rookie9,0,
kapybara,tjsol,2,"['web', 'development']"
kapybara,Caterpillar Fungus,0,
kapybara,ramranch,1,['development']
Bebocchia ,Ty29,0,
Bebocchia ,Mintchoco,0,
Bebocchia ,SannyKuro,0,
Bebocchia ,DrPavel,0,
Bebocchia ,Reisen,0,
Bebocchia ,GGer,0,
Bebocchia ,Aaron,0,
Bebocchia ,DiscoTechLola,0,
Bebocchia ,Frieren,0,
Bebocchia ,Sam Vimes,0,
Bebocchia ,YellowShyGuy,0,
Bebocchia ,John Wick,0,
Bebocchia ,MGH552200,0,
Bebocchia ,"Bond, Jan Bond",0,
Bebocchia ,Windy65,0,
Bebocchia ,BlenderBender,0,
Bebocchia ,cyan,0,
Bebocchia ,ghostcat,0,
Bebocchia ,tpain,0,
Bebocchia ,Shadowheart,0,
Bebocchia ,blackcat,0,
Bebocchia ,sackboy,0,
Bebocchia ,Kanelbulle,0,
Bebocchia ,numpy,0,
Bebocchia ,gallopinto,0,
Bebocchia ,tofu,0,
Bebocchia ,kattmat,0,
Bebocchia ,w,0,
Bebocchia ,Croco,0,
Bebocchia ,Weissach,0,
Bebocchia ,SargeSmoke,0,
Bebocchia ,BirdMaster,0,
Bebocchia ,Beowulf,0,
Bebocchia ,Kakka,0,
Bebocchia ,stellarise,0,
Bebocchia ,Bebocchia ,0,
Bebocchia ,kapybara,0,
Bebocchia ,Flower,0,
Bebocchia ,matcha,0,
Bebocchia ,Rookie9,0,
Bebocchia ,tjsol,0,
Bebocchia ,Caterpillar Fungus,0,
Bebocchia ,ramranch,0,
stellarise,Ty29,2,"['technology', 'sport']"
stellarise,Mintchoco,2,"['technology', 'game']"
stellarise,SannyKuro,0,
stellarise,DrPavel,1,['game']
stellarise,Reisen,0,
stellarise,GGer,0,
stellarise,Aaron,0,
stellarise,DiscoTechLola,0,
stellarise,Frieren,0,
stellarise,Sam Vimes,0,
stellarise,YellowShyGuy,1,['sport']
stellarise,John Wick,1,['game']
stellarise,MGH552200,0,
stellarise,"Bond, Jan Bond",1,['technology']
stellarise,Windy65,0,
stellarise,BlenderBender,0,
stellarise,cyan,0,
stellarise,ghostcat,1,['game']
stellarise,tpain,1,['game']
stellarise,Shadowheart,1,['game']
stellarise,blackcat,1,['sport']
stellarise,sackboy,2,"['animation', 'game']"
stellarise,Kanelbulle,1,['game']
stellarise,numpy,0,
stellarise,gallopinto,0,
stellarise,tofu,0,
stellarise,kattmat,0,
stellarise,w,0,
